		GENOME: 1004954.6	GENOME: 520487.6	GENOME: 29461.21
FAMILY: PGF_00564599	FAMILY Name: FIG027190: Putative transmembrane protein	1	8	1
FAMILY: PGF_00565351	FAMILY Name: ABC transporter involved in cytochrome c biogenesis, CcmB subunit	1	8	1
FAMILY: PGF_00565509	FAMILY Name: FIG00450205: hypothetical protein	1	8	1
FAMILY: PGF_00565750	FAMILY Name: ATPase component NikO of energizing module of nickel ECF transporter	1	8	1
FAMILY: PGF_00568701	FAMILY Name: Multidrug efflux system, membrane fusion component => TriA of TriABC-OpmH system	1	8	1
FAMILY: PGF_00569671	FAMILY Name: Hydrogen peroxide-inducible genes activator => OxyR	2	16	2
FAMILY: PGF_00570239	FAMILY Name: Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)	3	24	2
FAMILY: PGF_00572317	FAMILY Name: Protein tyrosine phosphatase	1	8	1
FAMILY: PGF_00577820	FAMILY Name: Cytosine/purine/uracil/thiamine/allantoin permease family protein	1	8	1
FAMILY: PGF_00580417	FAMILY Name: Outer membrane vitamin B12 receptor BtuB	1	8	1
FAMILY: PGF_00585913	FAMILY Name: ABC transporter, substrate-binding protein (cluster 8, B12/iron complex)	1	8	1
FAMILY: PGF_00594449	FAMILY Name: putative membrane protein	1	8	1
FAMILY: PGF_00596539	FAMILY Name: Efflux ABC transporter for glutathione/L-cysteine, essential for assembly of bd-type respiratory oxidases => CydD subunit	1	8	1
FAMILY: PGF_00599203	FAMILY Name: L-amino acid ABC transporter (Glu/Asp/His/...), permease protein 2 AapM	1	8	1
FAMILY: PGF_00616490	FAMILY Name: Signal peptidase I (EC 3.4.21.89)	1	8	1
FAMILY: PGF_00618776	FAMILY Name: 23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)	1	8	1
FAMILY: PGF_00624653	FAMILY Name: Uncharacterized oxidoreductase	1	8	1
FAMILY: PGF_00625415	FAMILY Name: 7-cyano-7-deazaguanine synthase (EC 6.3.4.20)	1	8	1
FAMILY: PGF_00625587	FAMILY Name: SAM-dependent methyltransferase	1	8	2
FAMILY: PGF_00634936	FAMILY Name: Protein QmcA (possibly involved in integral membrane quality control)	1	8	1
FAMILY: PGF_00641071	FAMILY Name: Peptide chain release factor 2 @ programmed frameshift-containing	1	8	1
FAMILY: PGF_00644212	FAMILY Name: Nucleoside-diphosphate-sugar epimerases	1	8	1
FAMILY: PGF_00644734	FAMILY Name: putative phosphohydrolases, Icc family	1	8	1
FAMILY: PGF_00644953	FAMILY Name: DnaJ-class molecular chaperone CbpA	1	8	1
FAMILY: PGF_00647884	FAMILY Name: FIG004694: Hypothetical protein	1	8	1
FAMILY: PGF_00648054	FAMILY Name: Tol-Pal system protein TolQ	1	8	1
FAMILY: PGF_00649271	FAMILY Name: Cell division protein BolA	1	8	1
FAMILY: PGF_00650313	FAMILY Name: Oxidoreductase, short-chain dehydrogenase/reductase family	1	8	1
FAMILY: PGF_00655131	FAMILY Name: 3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98)	1	8	1
FAMILY: PGF_00655358	FAMILY Name: UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	1	8	1
FAMILY: PGF_00659194	FAMILY Name: Orotate phosphoribosyltransferase (EC 2.4.2.10)	1	8	1
FAMILY: PGF_00659286	FAMILY Name: Glutamate--cysteine ligase (EC 6.3.2.2)	1	8	1
FAMILY: PGF_00662997	FAMILY Name: Cobalamin synthase (EC 2.7.8.26)	1	8	1
FAMILY: PGF_00664069	FAMILY Name: NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	1	8	1
FAMILY: PGF_00665875	FAMILY Name: Ribosomal silencing factor RsfA	1	8	1
FAMILY: PGF_00669749	FAMILY Name: ABC transporter, substrate-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)	1	8	1
FAMILY: PGF_00677939	FAMILY Name: ABC branched-chain amino acid transporter, periplasmic binding protein	1	8	1
FAMILY: PGF_00685185	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00685421	FAMILY Name: Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	1	8	1
FAMILY: PGF_00689338	FAMILY Name: Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	1	8	1
FAMILY: PGF_00693855	FAMILY Name: Uncharacterized MFS-type transporter	1	8	1
FAMILY: PGF_00694978	FAMILY Name: Inositol-1-monophosphatase (EC 3.1.3.25)	2	16	2
FAMILY: PGF_00695458	FAMILY Name: Urease accessory protein UreD	1	8	1
FAMILY: PGF_00702199	FAMILY Name: Response regulator	1	8	1
FAMILY: PGF_00704717	FAMILY Name: Uncharacterized protein DUF983 associated with cytochrome c oxidase?	1	8	1
FAMILY: PGF_00706032	FAMILY Name: FIG139438: lipoprotein B	1	8	1
FAMILY: PGF_00709443	FAMILY Name: Twin-arginine translocation protein TatB	1	8	1
FAMILY: PGF_00709627	FAMILY Name: Nucleoside ABC transporter, permease protein 2	2	16	2
FAMILY: PGF_00715428	FAMILY Name: Transcriptional regulator, LysR family	0	NaN	0
FAMILY: PGF_00716243	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_00717495	FAMILY Name: Citrate synthase (si) (EC 2.3.3.1)	1	8	1
FAMILY: PGF_00718789	FAMILY Name: 3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	1	8	1
FAMILY: PGF_00721835	FAMILY Name: 3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)	1	8	1
FAMILY: PGF_00722309	FAMILY Name: NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	1	8	1
FAMILY: PGF_00722831	FAMILY Name: FOG: TPR repeat, SEL1 subfamily	1	8	1
FAMILY: PGF_00725031	FAMILY Name: Metal-dependent hydrolase	1	8	1
FAMILY: PGF_00725839	FAMILY Name: LPS-assembly protein LptD @ Organic solvent tolerance protein precursor	1	8	1
FAMILY: PGF_00730641	FAMILY Name: 4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	1	8	1
FAMILY: PGF_00731239	FAMILY Name: Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety, TenA subgroup with Cys in active site	1	8	1
FAMILY: PGF_00734221	FAMILY Name: Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	1	8	1
FAMILY: PGF_00734372	FAMILY Name: 2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	2	16	1
FAMILY: PGF_00734482	FAMILY Name: DNA topoisomerase I (EC 5.99.1.2)	1	8	1
FAMILY: PGF_00734751	FAMILY Name: Cytochrome c heme lyase subunit CcmL	1	8	1
FAMILY: PGF_00740590	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00743180	FAMILY Name: Multidrug and toxin extrusion (MATE) family efflux pump YdhE/NorM, homolog	1	8	1
FAMILY: PGF_00747014	FAMILY Name: Leucine-responsive regulatory protein, regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system	1	8	1
FAMILY: PGF_00754583	FAMILY Name: Uncharacterized MFS-type transporter	1	8	1
FAMILY: PGF_00771649	FAMILY Name: Amino acid ABC transporter, periplasmic substrate-binding protein YhdW	1	8	1
FAMILY: PGF_00774927	FAMILY Name: DNA-binding response regulator in Mg(2+) transport ATPase cluster	1	8	1
FAMILY: PGF_00776587	FAMILY Name: probable iron binding protein from the HesB_IscA_SufA family	1	8	1
FAMILY: PGF_00777371	FAMILY Name: Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	1	8	1
FAMILY: PGF_00800643	FAMILY Name: UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	1	8	1
FAMILY: PGF_00813259	FAMILY Name: FolM Alternative dihydrofolate reductase 1	1	8	1
FAMILY: PGF_00814540	FAMILY Name: Oxidoreductase, short-chain dehydrogenase/reductase family	2	16	2
FAMILY: PGF_00816319	FAMILY Name: Gene Transfer Agent (GTA) ORFG08	2	16	2
FAMILY: PGF_00827555	FAMILY Name: DNA polymerase III subunits gamma and tau (EC 2.7.7.7)	1	8	1
FAMILY: PGF_00833868	FAMILY Name: FIG00344505: hypothetical protein	1	8	1
FAMILY: PGF_00835519	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00843393	FAMILY Name: Glyoxalase family protein	1	8	1
FAMILY: PGF_00846659	FAMILY Name: Polysaccharide deacetylase	3	24	3
FAMILY: PGF_00853393	FAMILY Name: Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	1	8	1
FAMILY: PGF_00856141	FAMILY Name: Cysteine desulfurase (EC 2.8.1.7) => SufS	1	8	1
FAMILY: PGF_00856417	FAMILY Name: UPF0758 family protein	1	8	1
FAMILY: PGF_00861656	FAMILY Name: Choline dehydrogenase (EC 1.1.99.1)	1	8	1
FAMILY: PGF_00864003	FAMILY Name: Two-component transcriptional response regulator, LuxR family	1	8	1
FAMILY: PGF_00868943	FAMILY Name: Putative inner membrane protein	1	8	1
FAMILY: PGF_00874759	FAMILY Name: Lipoprotein releasing system transmembrane protein LolC/LolE	1	8	1
FAMILY: PGF_00875598	FAMILY Name: Transcription elongation factor GreB	1	8	1
FAMILY: PGF_00883856	FAMILY Name: Transcriptional regulator, AraC family	1	8	1
FAMILY: PGF_00886151	FAMILY Name: Glycine betaine/L-proline transport system permease protein ProW (TC 3.A.1.12.1)	1	8	1
FAMILY: PGF_00889118	FAMILY Name: Transcriptional regulator, IclR family	1	8	1
FAMILY: PGF_00893304	FAMILY Name: Aldehyde dehydrogenase A (EC 1.2.1.22)	1	8	1
FAMILY: PGF_00894939	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00898600	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_00900256	FAMILY Name: Threonine synthase (EC 4.2.3.1)	1	8	1
FAMILY: PGF_00911315	FAMILY Name: Alkanal monooxygenase alpha chain (EC 1.14.14.3)	1	8	1
FAMILY: PGF_00912265	FAMILY Name: tRNA-dihydrouridine synthase DusB	1	8	1
FAMILY: PGF_00912542	FAMILY Name: L-cystine ABC transporter, substrate-binding protein TcyA	1	8	1
FAMILY: PGF_00915542	FAMILY Name: Nucleoside ABC transporter, periplasmic nucleoside-binding protein	1	8	1
FAMILY: PGF_00915896	FAMILY Name: Inner membrane protein YihY, formerly thought to be RNase BN	1	8	1
FAMILY: PGF_00922738	FAMILY Name: Acyl-CoA thioesterase II (EC 3.1.2.-)	1	8	2
FAMILY: PGF_00922902	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00925844	FAMILY Name: tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)	1	8	1
FAMILY: PGF_00926109	FAMILY Name: Arginyl-tRNA synthetase (EC 6.1.1.19)	1	8	1
FAMILY: PGF_00936749	FAMILY Name: hypothetical protein	1	8	2
FAMILY: PGF_00943546	FAMILY Name: Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	1	8	1
FAMILY: PGF_00944020	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00944230	FAMILY Name: Xylose ABC transporter, permease protein XylH	1	8	1
FAMILY: PGF_00950554	FAMILY Name: Excinuclease ABC subunit B	1	8	1
FAMILY: PGF_00955461	FAMILY Name: Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	3	24	3
FAMILY: PGF_00957419	FAMILY Name: Putative pre-16S rRNA nuclease Yqg	1	8	1
FAMILY: PGF_00959774	FAMILY Name: Homoserine dehydrogenase (EC 1.1.1.3)	1	8	1
FAMILY: PGF_00963206	FAMILY Name: 2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	1	8	1
FAMILY: PGF_00963744	FAMILY Name: Tetrapartite efflux system, membrane fusion component FusE-like	1	8	1
FAMILY: PGF_00974989	FAMILY Name: Error-prone repair protein ImuA	1	8	1
FAMILY: PGF_00977704	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_00980481	FAMILY Name: ATP/GTP-binding site motif A	1	8	1
FAMILY: PGF_00981596	FAMILY Name: Aldehyde dehydrogenase (EC 1.2.1.3)	4	32	4
FAMILY: PGF_00981604	FAMILY Name: Outer membrane protein	5	40	5
FAMILY: PGF_00983050	FAMILY Name: Pyridoxal 5-phosphate (PLP)-dependent ornithine decarboxylase (EC 4.1.1.17)	1	8	1
FAMILY: PGF_00983926	FAMILY Name: Ribosome-binding factor A	1	8	1
FAMILY: PGF_00989656	FAMILY Name: Uncharacterized MFS-type transporter	1	8	1
FAMILY: PGF_01000681	FAMILY Name: Acetyltransferase	1	8	1
FAMILY: PGF_01007468	FAMILY Name: Multidrug efflux system, membrane fusion component => TriB of TriABC-OpmH system	1	8	1
FAMILY: PGF_01008498	FAMILY Name: Ribonuclease P protein component (EC 3.1.26.5)	1	8	1
FAMILY: PGF_01008556	FAMILY Name: Flagellar basal-body rod protein FlgF	1	8	1
FAMILY: PGF_01012099	FAMILY Name: Signal transduction histidine kinase	1	8	1
FAMILY: PGF_01023346	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01026260	FAMILY Name: Succinate dehydrogenase flavin-adding protein, antitoxin of CptAB toxin-antitoxin	1	8	1
FAMILY: PGF_01030706	FAMILY Name: hypothetical protein	2	16	2
FAMILY: PGF_01030708	FAMILY Name: FIG065852: hypothetical protein in Mg(2+) transport ATPase cluster	1	8	1
FAMILY: PGF_01030709	FAMILY Name: Peptidase / Na+/H+ antiporter NhaA type	2	16	2
FAMILY: PGF_01030710	FAMILY Name: COG0119: Isopropylmalate/homocitrate/citramalate synthases	1	8	1
FAMILY: PGF_01030712	FAMILY Name: Protein of unknown function DUF374	2	16	2
FAMILY: PGF_01030713	FAMILY Name: hypothetical protein co-occurring with urease in Rhizobiales	1	8	1
FAMILY: PGF_01030714	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030717	FAMILY Name: FIG00450070: hypothetical protein	1	8	1
FAMILY: PGF_01030718	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030719	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030720	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030721	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030722	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030723	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030725	FAMILY Name: FIG00791875: hypothetical protein	1	8	1
FAMILY: PGF_01030726	FAMILY Name: Hns-dependent expression protein A (HdeA)(acid-resistance protein)	1	8	1
FAMILY: PGF_01030727	FAMILY Name: Nudix hydrolase	1	8	1
FAMILY: PGF_01030729	FAMILY Name: Transcriptional regulatory protein MucR	1	8	1
FAMILY: PGF_01030731	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030732	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030733	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030734	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030736	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030740	FAMILY Name: FIG00450647: hypothetical protein	1	8	1
FAMILY: PGF_01030741	FAMILY Name: MarC family integral membrane protein	1	8	1
FAMILY: PGF_01030742	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030743	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030746	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030747	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030750	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030751	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030752	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030753	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030754	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030757	FAMILY Name: Nuclease	1	8	1
FAMILY: PGF_01030758	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030760	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030761	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030762	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030763	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030764	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030765	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030766	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030769	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030770	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030772	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030773	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030778	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030779	FAMILY Name: FIG00450423: hypothetical protein	1	8	1
FAMILY: PGF_01030780	FAMILY Name: Glycosyltransferase	1	8	1
FAMILY: PGF_01030781	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030782	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030783	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030784	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030785	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030788	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030789	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030791	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030792	FAMILY Name: Cis,cis-muconate transport protein MucK	1	8	2
FAMILY: PGF_01030793	FAMILY Name: FIG00983573: hypothetical protein	1	8	1
FAMILY: PGF_01030795	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030796	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030797	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030798	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030800	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030803	FAMILY Name: N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) / N-acetylmannosamine kinase (EC 2.7.1.60)	1	8	1
FAMILY: PGF_01030804	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030807	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030814	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030815	FAMILY Name: 5-hydroxyisourate hydrolase (EC 3.5.2.17)	1	8	1
FAMILY: PGF_01030816	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030817	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030819	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030820	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030821	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030823	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030827	FAMILY Name: hypothetical protein	2	16	1
FAMILY: PGF_01030829	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030831	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030832	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030834	FAMILY Name: Amidohydrolase	1	8	1
FAMILY: PGF_01030835	FAMILY Name: FIG00984811: hypothetical protein	1	8	1
FAMILY: PGF_01030836	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030838	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030840	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030841	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030842	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030843	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030844	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030845	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030846	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030847	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030848	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030849	FAMILY Name: Gluconolactonase (EC 3.1.1.17)	1	8	1
FAMILY: PGF_01030850	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030851	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030853	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030854	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030855	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030856	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030857	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030859	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030862	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030864	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030866	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030867	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030868	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030869	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030873	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030874	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030876	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030877	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030878	FAMILY Name: FIG00451088: hypothetical protein	1	8	1
FAMILY: PGF_01030879	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030881	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030885	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030888	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030889	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01030890	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030891	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030892	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030893	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030894	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030897	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030898	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030899	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030901	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030902	FAMILY Name: Transcriptional regulator, Xre family	1	8	1
FAMILY: PGF_01030903	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030905	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030907	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030909	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030910	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030912	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030913	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030915	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030918	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030919	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030920	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030921	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030925	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030926	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030927	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030928	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030929	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030931	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01030935	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030936	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030939	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030943	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030945	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030946	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030949	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030954	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030955	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030956	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030961	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030965	FAMILY Name: hypothetical protein	0	0	0
FAMILY: PGF_01030968	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030970	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030974	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030978	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030979	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030981	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030983	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030984	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030987	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01030989	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030990	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030992	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030994	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01030996	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01030997	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031000	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031002	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01031012	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01031016	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031018	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01031023	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031025	FAMILY Name: Transposase	1	8	1
FAMILY: PGF_01031033	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01031036	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031045	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031049	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031058	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031060	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01031061	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031063	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01031064	FAMILY Name: hypothetical protein	1	8	1
FAMILY: PGF_01031073	FAMILY Name: hypothetical protein	0	0	0
FAMILY: PGF_01031075	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01031081	FAMILY Name: hypothetical protein	0	0	1
FAMILY: PGF_01031086	FAMILY Name: hypothetical protein	1	8	0
FAMILY: PGF_01031088	FAMILY Name: hypothetical protein	0	0	1
